Heading,Body,Star Rating,Date
Business class upgrade is day light robbery,"We had flown in from Dubai to Nairobi on Business class and it was good. Hence on our way back I decided to upgrade and fly business class, expecting the same. It was the biggest mistake in my life. The so called business class was just close to the premium economy of most other airlines. Seats had some push back and that's it. The leg extender was stuck and won't extend. Cabin crew said they were helpless - they didn't even try to see if it can be worked. I had to spend the entire flight sitting upright cos without the leg extender to support, I was slipping down if I reclined the seat. Horrible experience and to top it all there event wasn't a TV on the 5 hour 20 minute flight. Cabin crew said that this aircraft only has so much facility and they were looking at each other and smiling when they heard that I actually upgraded to business class.I would like to know how I can claim a refund. Where and how can I escalate this matter to. I sent a dm on Twitter to the airline which they haven't responded. Such day light robbery must not be permitted. This isn't the upgrade we pay for.Interestingly I have not received any survey about my flight experience, which they promptly send.Never flying Kenya Airways again.",1,2023-07-06T15:19:13.000Z
KENYA AIRWAYS ARE THIEVES,"I had domestic flights booked with Kenya airways in May 2020 and I booked it just before the pandemic hit. Kenya airways are refusing to give me a refund knowing full well I can’t get to Kenya as the UK has been in lockdown since! BA gave me a no quibble refund knowing I wouldn’t be able to get to KenyaKenya airways offered me a 1 year only voucher but guess what, I can’t even get to the country!! Our government won’t let us leave. This was meant to be a trip for my 70 year old mother’s birthday as she left Kenya 50 years ago and she will never be able to return yet they are so selfish and will not give me back my £600 which is classed as theft by the way, they cancelled the flights. I think this behaviour and service is appalling. You can’t just be stealing peoples money to fill your fat pockets.I want my money back!!!!!!",,2021-04-17T11:32:01.000Z
Aweful,"Aweful. Broke my bag and never took responsibility for it. They don't answer on their ""chat"", ever. Catastrophic. Don't go with them.",,2023-08-17T16:42:54.000Z
Awful,So bad there isn’t even anything good to say about them. Overcharged me for a flight. Just took the money. Looking into your face and stealing from you. So disgusting. Why do they actually exist.,,2023-04-05T14:50:00.000Z
Over 2 years later and refund refused…,Over 2 years later and refund refused for a covid-19 cancelled flight. Breaking the regulations and the law. A refund should be given. £2.5k lost.,,2022-09-02T09:25:40.000Z
Excellant airline,Been in Kenya for 10 days and flew with Kenya airways both  there and back.Clean and comfy planes and staff were excellant and a credit to their company.Will use againEddie,,2023-06-25T11:10:59.000Z
Never ever again,"New planes that look and feel old due to crappy seats, disgusting food on board, very little in flight entertainment, crew that sits in back watching video on phones instead of servicing, website with check in that doesn't work, customer support that take forever to get through and when finally managed: didn't help, but promised to call back which she didn't, whatsapp customer support that doesn't work at all and provides zero help.Other than that, great experience.",,2023-01-27T10:54:08.000Z
Such an awful airline,Such an awful airlineWill never use them again.I asked for a glass of water as I felt unwell and the lady told me to wait for the drinks service.Such miserable crew and very dissatisfied.,,2023-01-25T06:56:39.000Z
AVOID THIS AIRLINE,"AVOID THIS AIRLINE !  When you go to check-in at Nairobi Airport, they will tell you that you don't have a seat now, and that you will have to pay more to get on the flight. THEY ARE LYING ! My plane was barely half full. They just try and squeeze more money from tourists. When you fill out a complaint form, they will not reply. DISGUSTING TACTICS.",,2024-02-25T13:12:08.000Z
Customer service not reachable,I’ve been trying to contact you for ages about a refund of a flight that was cancelled in march 2020 because of COVID. I’m still waiting for the refund. Please contact me for details.,,2021-12-16T23:37:11.000Z
Great Customer Service,I had a flight cancellation on my ticket and reached out to the customer service. My refund was done in less than thirty days.,,2021-10-14T11:50:40.000Z
Absolutely the worst airline I have…,Absolutely the worst airline I have travelled with.  The worst customer care ever!They only talk on wattsapp and do not care.STAY AWAY FROM THEM!DO NOT WASTE YOUR MONEY!!,1,2024-01-22T18:50:41.000Z
Finally Received Compensation From KQ!,"This is an update to my previous review below submitted a few months ago. I finally received 600 Euros from KQ. I think that they really don't have the staff to deal with things when problems arise hence the delays. Staff did eventually reply to emails and I think there is possibly too much emphasis on bureaucracy and the pace of work may be slow ""Kenyan time"" (I used to live and work in Kenya). This is clearly not acceptable for an international airline to inconvenience customers further when entitled to compensation.The process from my original complaint until receiving a response was around 1 month and 6 months to receive compensation. The Resolver website was very useful in this process.My flight to Nairobi from Paris was cancelled due to the pilots strike in Nov 22, I only became aware of this when I arrived in Paris from Birmingham with Air France. I managed to get to Nairobi a day late with KLM but then Kenya Airways connecting flight to Kisumu also cancelled, finally manged to make it with Jambo Jet.Air France looked after me in Paris but Kenya Airways basically abandoned me in Kenyatta Airport at 11pm, no food, accommodation etc.I have complained to Kenya Airways and eventually they agreed to pay 600 Euros compensation. They have had my bank details for 2 months now, still no payment and very little communication from them. I was advised it would take ""at least 30 working days"" that time has passed now and when asking when I will get paid no response.""The Pride of Africa"" used to be a good airline, very disappointed and frustrated with them, this issue has been going on for over 4 months now.",,2023-05-30T07:57:00.000Z
